20220511	15:14:14 	 06c14551-4743-4645-8d63-fa181bf4c75c 	 GET 	 undefined 	 /states
20220511	15:24:03 	 9ce7b6a6-57f7-47be-9c19-d79c393b7f23 	 GET 	 undefined 	 /states
20220511	15:30:37 	 939d576b-20de-49cf-b2a7-afa3a226545c 	 GET 	 undefined 	 /states
20220511	15:30:57 	 231dd18e-6665-400f-8161-db0e44991204 	 GET 	 undefined 	 /states
20220511	15:31:14 	 b38a5363-d350-4d64-9884-6cb3cee7385e 	 POST 	 undefined 	 /states
20220511	15:32:39 	 95452db0-89bf-438e-b971-e2341fa3b931 	 GET 	 undefined 	 /states
20220511	15:33:03 	 0f209ee9-b9a5-4798-b7b5-82d409c9ee74 	 POST 	 undefined 	 /states
20220511	15:40:05 	 9e1d81cb-104d-407e-b6a2-ccfedb691419 	 GET 	 undefined 	 /states
20220511	15:40:25 	 7e8ef59d-0a69-4cfc-9c41-fa74e122645c 	 POST 	 undefined 	 /states
20220511	15:40:41 	 e421fdf4-dddf-4e19-b53c-c5b68d9daa1c 	 POST 	 undefined 	 /states
20220511	15:41:39 	 10b267fc-4946-4b1b-a8cb-e7ac6ff04093 	 POST 	 undefined 	 /states
20220511	15:42:32 	 90f9ab89-b849-47e0-8c06-f94ffab36a95 	 GET 	 undefined 	 /states/627c17082aa2e410fd5d86ed
20220511	15:42:38 	 230a5960-41a7-4832-b0a0-e59865528ccd 	 POST 	 undefined 	 /states/
20220511	15:43:28 	 5806a021-39a4-4f5d-b60c-c17d99864ecc 	 GET 	 undefined 	 /states/
20220511	15:45:18 	 93527a8a-4f5e-46d6-bba6-9e6d6d97654c 	 POST 	 undefined 	 /states/
20220511	15:47:00 	 0354185c-3454-4b41-8e1b-a44ccb17c1c6 	 POST 	 undefined 	 /states/MO
20220511	15:47:03 	 2cc48815-0282-4e3d-9076-fc2f35b1dd2d 	 POST 	 undefined 	 /states/MO
20220511	15:47:06 	 fc71c7d4-a07e-4323-bf91-1d99777a2637 	 POST 	 undefined 	 /states/MO
